대상,정격용량,년,월,일,시,인버터출력,경사일사량,수평일사량,표면온도,주위온도
경기도연성,1490,2016,1,16,1,0,19,0,0,2
경기도연성,1490,2016,1,16,2,0,0,0,1,2
경기도연성,1490,2016,1,16,3,0,0,0,3,3
경기도연성,1490,2016,1,16,4,0,0,0,2,3
경기도연성,1490,2016,1,16,5,0,0,0,3,3
경기도연성,1490,2016,1,16,6,0,0,0,3,3
경기도연성,1490,2016,1,16,7,0,0,0,4,4
경기도연성,1490,2016,1,16,8,0,31,0,3,4
경기도연성,1490,2016,1,16,9,71,86,0,6,5
경기도연성,1490,2016,1,16,10,156,107,16,7,5
경기도연성,1490,2016,1,16,11,204,115,57,7,5
경기도연성,1490,2016,1,16,12,363,107,81,11,7
경기도연성,1490,2016,1,16,13,681,225,160,16,10
경기도연성,1490,2016,1,16,14,534,215,112,17,10
경기도연성,1490,2016,1,16,15,402,100,81,14,11
경기도연성,1490,2016,1,16,16,124,26,14,10,8
경기도연성,1490,2016,1,16,17,67,26,0,7,7
경기도연성,1490,2016,1,16,18,0,0,0,3,5
경기도연성,1490,2016,1,16,19,0,0,0,3,5
경기도연성,1490,2016,1,16,20,0,14,0,4,4
경기도연성,1490,2016,1,16,21,0,0,0,5,5
경기도연성,1490,2016,1,16,22,0,0,0,3,4
경기도연성,1490,2016,1,16,23,0,0,0,3,4
경기도연성,1490,2016,1,18,0,0,0,0,2,3
경기도연성,1490,2016,1,18,1,0,0,0,3,4
경기도연성,1490,2016,1,18,2,0,0,0,4,4
경기도연성,1490,2016,1,18,3,0,0,0,4,5
경기도연성,1490,2016,1,18,4,0,0,0,5,4
경기도연성,1490,2016,1,18,5,0,11,0,3,3
경기도연성,1490,2016,1,18,6,0,0,0,2,2
경기도연성,1490,2016,1,18,7,0,0,0,2,2
경기도연성,1490,2016,1,18,8,0,16,0,1,1
경기도연성,1490,2016,1,18,9,25,55,0,1,1
경기도연성,1490,2016,1,18,10,365,198,100,4,1
경기도연성,1490,2016,1,18,11,1126,232,141,9,2
경기도연성,1490,2016,1,18,12,1287,306,170,7,1
경기도연성,1490,2016,1,18,13,213,76,35,3,0
경기도연성,1490,2016,1,18,14,546,328,220,4,0
경기도연성,1490,2016,1,18,15,750,184,124,4,0
경기도연성,1490,2016,1,18,16,202,64,59,-1,-2
경기도연성,1490,2016,1,18,17,36,31,0,-3,-2
경기도연성,1490,2016,1,18,18,0,0,0,-4,-4
경기도연성,1490,2016,1,18,19,0,0,0,-4,-4
경기도연성,1490,2016,1,18,20,0,0,0,-5,-4
경기도연성,1490,2016,1,18,21,0,0,0,-6,-4
경기도연성,1490,2016,1,18,22,0,0,0,-6,-5
경기도연성,1490,2016,1,18,23,0,19,0,-5,-5
경기도연성,1490,2016,1,19,0,0,0,0,-5,-5
경기도연성,1490,2016,1,19,1,0,21,0,-6,-6
경기도연성,1490,2016,1,19,2,0,26,0,-7,-6
경기도연성,1490,2016,1,19,3,0,28,0,-7,-6
경기도연성,1490,2016,1,19,4,0,0,0,-7,-6
경기도연성,1490,2016,1,19,5,0,0,0,-8,-7
경기도연성,1490,2016,1,19,6,0,0,0,-8,-7
경기도연성,1490,2016,1,19,7,0,0,0,-8,-7
경기도연성,1490,2016,1,19,8,10,59,0,-7,-7
경기도연성,1490,2016,1,19,9,194,115,35,-2,-6
경기도연성,1490,2016,1,19,10,319,208,93,2,-5
경기도연성,1490,2016,1,19,11,1272,275,172,4,-4
경기도연성,1490,2016,1,19,12,1327,280,184,5,-3
경기도연성,1490,2016,1,19,13,1250,309,182,6,-2
경기도연성,1490,2016,1,19,14,1066,225,155,4,-3
경기도연성,1490,2016,1,19,15,757,158,117,3,-2
경기도연성,1490,2016,1,19,16,367,74,50,0,-2
경기도연성,1490,2016,1,19,17,79,76,0,-3,-4
경기도연성,1490,2016,1,19,18,0,19,0,-5,-5
경기도연성,1490,2016,1,19,19,0,0,0,-6,-5
경기도연성,1490,2016,1,19,20,0,0,0,-6,-6
경기도연성,1490,2016,1,19,21,0,16,0,-7,-6
경기도연성,1490,2016,1,19,22,0,0,0,-8,-6
경기도연성,1490,2016,1,19,23,0,0,0,-7,-6
경기도연성,1490,2016,1,20,0,0,0,0,-7,-6
경기도연성,1490,2016,1,20,1,0,0,0,-8,-6
경기도연성,1490,2016,1,20,2,0,0,0,-7,-6
경기도연성,1490,2016,1,20,3,0,0,0,-8,-7
경기도연성,1490,2016,1,20,4,0,28,0,-9,-7
경기도연성,1490,2016,1,20,5,0,11,0,-9,-8
경기도연성,1490,2016,1,20,6,0,33,0,-9,-8
경기도연성,1490,2016,1,20,7,0,0,0,-10,-8
경기도연성,1490,2016,1,20,8,14,11,0,-8,-7
경기도연성,1490,2016,1,20,9,175,122,23,1,-4
경기도연성,1490,2016,1,20,10,340,297,95,4,-3
경기도연성,1490,2016,1,20,11,1100,297,129,9,-2
경기도연성,1490,2016,1,20,12,881,256,134,12,0
경기도연성,1490,2016,1,20,13,524,129,105,12,1
경기도연성,1490,2016,1,20,14,382,69,83,7,0
경기도연성,1490,2016,1,20,15,323,62,64,4,0
경기도연성,1490,2016,1,20,16,316,93,52,5,1
경기도연성,1490,2016,1,20,17,44,0,0,-2,-2
경기도연성,1490,2016,1,20,18,0,0,0,-5,-3
경기도연성,1490,2016,1,20,19,0,23,0,-7,-4
경기도연성,1490,2016,1,20,20,0,0,0,-6,-5
경기도연성,1490,2016,1,20,21,0,0,0,-7,-5
경기도연성,1490,2016,1,20,22,0,40,0,-7,-5
경기도연성,1490,2016,1,20,23,0,0,0,-6,-5
경기도연성,1490,2016,1,21,0,0,16,0,-6,-4
경기도연성,1490,2016,1,21,1,0,0,0,-6,-4
경기도연성,1490,2016,1,21,2,0,0,0,-6,-5
경기도연성,1490,2016,1,21,3,0,0,0,-5,-4
경기도연성,1490,2016,1,21,4,0,0,0,-4,-4
경기도연성,1490,2016,1,21,5,0,0,0,-5,-4
경기도연성,1490,2016,1,21,6,0,21,0,-5,-4
경기도연성,1490,2016,1,21,7,0,19,0,-4,-4
경기도연성,1490,2016,1,21,8,3,0,0,-4,-3
경기도연성,1490,2016,1,21,9,92,57,0,-1,-2
경기도연성,1490,2016,1,21,10,154,67,50,1,-1
경기도연성,1490,2016,1,21,11,644,141,88,8,1
경기도연성,1490,2016,1,21,12,823,268,153,10,1
경기도연성,1490,2016,1,21,13,898,302,160,17,4
경기도연성,1490,2016,1,21,14,478,201,103,11,3
경기도연성,1490,2016,1,21,15,0,0,0,0,0
경기도연성,1490,2016,1,21,16,312,91,55,6,2
